Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
foo/old/54,5.76536041109487e-8,5.7573154546505265e-8,5.776081921994572e-8,3.1853503578571423e-10,2.39631439599423e-10,4.1667497335047225e-10
foo/dyn/54,1.1007456627759216e-7,1.0959166260157054e-7,1.1145172299889849e-7,2.4915389066907305e-9,9.509825348675057e-10,5.113664388758665e-9
foo/new/55,2.2653580373696094e-8,2.2610979824827455e-8,2.2706883623754968e-8,1.5760002816653128e-10,1.2415753115118294e-10,2.3169123447710044e-10
foo/old/55,5.790367805117376e-8,5.7812481187906794e-8,5.801405190091017e-8,3.282306919415739e-10,2.434419706869386e-10,4.497816819939325e-10
foo/dyn/55,1.0664276184440268e-7,1.0539680590554536e-7,1.0902922419399665e-7,5.729053499656605e-9,3.2377994804443104e-9,8.797594523505937e-9
foo/new/56,2.3206509972476316e-8,2.3156595511743746e-8,2.327125284592952e-8,1.9494115844242614e-10,1.5009769511277173e-10,2.7025809620703306e-10
foo/old/56,5.763550950686458e-8,5.750157662379774e-8,5.779481534032749e-8,4.827557887991671e-10,4.1363197185067997e-10,5.803634846924905e-10
foo/dyn/56,1.0648332235424117e-7,1.0584503410586401e-7,1.0778038076399417e-7,2.924992920960235e-9,1.8488905359352412e-9,4.6568968738624155e-9
foo/new/57,2.332614313151354e-8,2.3276075250884366e-8,2.339366443004488e-8,1.8997230017210527e-10,1.5675518580649437e-10,2.4404168534238027e-10
foo/old/57,5.961260954922048e-8,5.9537231660326375e-8,5.97161140414513e-8,2.9588273543518215e-10,2.318507735061151e-10,3.9149865304804804e-10
foo/dyn/57,1.0817210891130073e-7,1.0738675034123949e-7,1.0982890561861543e-7,3.601675897018621e-9,1.8355405917815516e-9,6.659155500763651e-9
foo/new/58,2.3673816619618053e-8,2.3622940614232083e-8,2.372637222194802e-8,1.6946554342452117e-10,1.4391991325627544e-10,2.0503849209893549e-10
foo/old/58,6.400753826236105e-8,6.379946743343474e-8,6.422010065813675e-8,7.157811827609002e-10,5.392205105895885e-10,9.225830961010304e-10
foo/dyn/58,1.1666280611082447e-7,1.1579556195581712e-7,1.1850882619312714e-7,4.0543394476613115e-9,2.1227285555281094e-9,6.8608919545336864e-9
foo/new/59,2.416433340069512e-8,2.4029321952110745e-8,2.4773635088680545e-8,7.086943783149317e-10,2.627344044597967e-10,1.6903178757441612e-9
foo/old/59,5.970159951221162e-8,5.9578631213028176e-8,5.993108734901099e-8,5.445043597318411e-10,3.3889990167888104e-10,8.914021720738758e-10
foo/dyn/59,1.125688953352872e-7,1.1143740922984356e-7,1.1486162334838425e-7,5.283609496827806e-9,2.6641293712945764e-9,8.642061841708457e-9
foo/new/60,2.488482865515344e-8,2.4839833126462293e-8,2.493291946673905e-8,1.5431226475583088e-10,1.173851926884537e-10,2.2518422102478506e-10
foo/old/60,6.232204928970316e-8,6.219478290016599e-8,6.24893297224055e-8,5.158907793156253e-10,3.9139028071707236e-10,7.34650710710401e-10
foo/dyn/60,1.1333752992627664e-7,1.1249689295676752e-7,1.1471121785300365e-7,3.628358502809328e-9,2.36558348929487e-9,5.771496137947808e-9
foo/new/61,2.4506308988235616e-8,2.4459174273962156e-8,2.4557996461714532e-8,1.5992949919751505e-10,1.4098890140225685e-10,1.89710175950841e-10
